"","Cumul_N","Sdt_DD.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","model"
"21",350,11.7136816894491,18.1658866598312,134.345394441313,-24.214435236068,47.6417986149663,0.644817503752828,0.520145031498998,"LMA"
"22",560,25.879852733325,14.6344036960264,134.363148643965,-3.06373507963383,54.8234405462839,1.7684255040984,0.0792591358528802,"LMA"
"23",1050,58.9342518357081,11.2474686369257,133.664009490509,36.6882091356547,81.1802945357615,5.23977916615171,6.1051089587111e-07,"LMA"
"24",1680,101.432764967336,19.7350337008079,133.290281451956,62.3984132060578,140.467116728614,5.13973102377745,9.57546671390941e-07,"LMA"
"25",350,-46.8078347742551,17.7739687948737,132.892704500402,-81.9643171527366,-11.6513523957736,-2.63350494841396,0.00945308265092478,"Vcmax"
"26",560,-37.3067412805556,14.2864267964983,133.34088218007,-65.5640768831703,-9.04940567794082,-2.61134164700299,0.0100518885711526,"Vcmax"
"27",1050,-15.1375231285859,11.1429111342191,133.338687503346,-37.1772557679358,6.90220951076403,-1.35848908299194,0.176602423735735,"Vcmax"
"28",1680,13.3657573525087,19.8404192810465,131.491130251603,-25.8819581452613,52.6134728502787,0.673663049312519,0.501708000349253,"Vcmax"
"29",350,-50.4127317295199,17.3453943840144,130.537703678134,-84.7271922337722,-16.0982712252677,-2.90640446757328,0.0042966418443745,"Jmax"
"30",560,-41.0204969976395,13.9452975316228,130.983909746702,-68.607653606857,-13.433340388422,-2.94152899245213,0.00386314974602225,"Jmax"
"31",1050,-19.1052826232563,10.8943928479114,131.227553793622,-40.6566420413821,2.44607679486944,-1.75368034639204,0.0818200170118557,"Jmax"
"32",1680,9.07142157238587,19.3915684618673,129.554378042843,-29.2937172183931,47.4365603631649,0.467802364219503,0.640711904876712,"Jmax"
"33",350,-30.397964370449,25.5650718538726,135.604480256055,-80.9557714071252,20.1598426662272,-1.18904279026481,0.236500794023459,"nrubisco"
"34",560,-25.8184622521936,20.5948451621366,135.636817031012,-66.5469991708295,14.9100746664422,-1.253637113993,0.2121304430025,"nrubisco"
"35",1050,-15.1329573095959,15.8380772682541,134.320553485856,-46.4572333552237,16.191318736032,-0.955479446986184,0.34105175207235,"nrubisco"
"36",1680,-1.39445095482978,27.7985408988097,133.587477909923,-56.376668204684,53.5877662950244,-0.0501627391130261,0.960067629516487,"nrubisco"
"37",350,-26.3545980565397,22.2604949256686,130.027768388709,-70.3942366784203,17.685040565341,-1.18391788433015,0.238605355696433,"nbioe"
"38",560,-24.8068001171062,17.8976284184485,130.304773101227,-60.2143394777213,10.6007392435088,-1.38603839218921,0.168102520401832,"nbioe"
"39",1050,-21.1952715917606,14.1056510230206,130.659206280763,-49.1002925618785,6.70974937835738,-1.50260853307441,0.135353097235453,"nbioe"
"40",1680,-16.5518777734599,25.1848432940331,129.756651934524,-66.3779561215054,33.2742005745857,-0.657215833357255,0.512206215363156,"nbioe"
"41",350,118.955304707106,48.0952917837868,134.438137326248,23.8340223883164,214.076587025896,2.47332535670792,0.0146330644786442,"nstr"
"42",560,111.650584820528,38.7454329656705,134.457043380237,35.0212428472395,188.279926793817,2.88164504238354,0.00460649155042256,"nstr"
"43",1050,94.6062384185101,29.7795757541368,133.711039461769,35.7062666367183,153.506210200302,3.17688335117965,0.00184896905904847,"nstr"
"44",1680,72.6920787587766,52.2529735098917,133.311214718505,-30.6600637085566,176.04422122611,1.39115678737432,0.16649528188783,"nstr"
"45",350,-23.6654005658021,20.2499441693276,133.659306861399,-63.7171919499147,16.3863908183106,-1.16866497842734,0.244618794450585,"WUE"
"46",560,-8.15526008479886,16.2912091291883,133.600617959149,-40.3773107908779,24.0667906212802,-0.500592682846814,0.617481477059208,"WUE"
"47",1050,28.0350677042081,12.6072359734708,132.61673483736,3.0977816558195,52.9723537525968,2.22372832262375,0.0278587075899192,"WUE"
