"","Cumul_N","Sdt_DD.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","model"
"38",560,-0.000695105128507952,0.0213656622270395,37.7623070522888,-0.043956569435258,0.0425663591782421,-0.0325337507034186,0.974217756164888,"nbioe"
"39",1050,-0.017134186234164,0.0145500278045179,37.5467619260714,-0.046600858504418,0.0123324860360901,-1.17760505095692,0.246364765254141,"nbioe"
"40",1680,-0.0382701476557167,0.0208463231692269,37.1528665064766,-0.0805029450077178,0.00396264969628436,-1.83582242993386,0.0743973547541035,"nbioe"
"41",350,0.853713510135613,0.306165260374311,37.8487605460968,0.233833001416246,1.47359401885498,2.78840750610269,0.00824191733650821,"nstr"
"42",560,0.758979466808283,0.252076738804477,37.8719310241418,0.248620111991589,1.26933882162498,3.01090640258157,0.00461897546169411,"nstr"
"43",1050,0.537933365711182,0.171677470790322,37.6256785785346,0.190276915458771,0.885589815963592,3.13339521624352,0.00334142731763606,"nstr"
"44",1680,0.253731235729261,0.246002262660529,37.1753754377843,-0.244637334664447,0.75209980612297,1.03141830073083,0.309008553529607,"nstr"
"45",350,0.0192101429619038,0.0141413405343958,37.5453794437718,-0.00942889214730287,0.0478491780711106,1.35843860878531,0.182431189373647,"Nlh"
"46",560,0.0160282338470997,0.0116433030122193,37.5603326876046,-0.00755146491444563,0.039607932608645,1.37660540400594,0.176785403885515,"Nlh"
"47",1050,0.00860377924589014,0.00792800879289793,37.4015808879305,-0.00745407256291954,0.0246616310546998,1.08523835816095,0.284761785752885,"Nlh"
"48",1680,-0.000941948098519923,0.0113558962149,37.111760842578,-0.0239488407269854,0.0220649445299455,-0.0829479312503756,0.934338738558871,"Nlh"
"49",350,-0.230620571499952,0.234529559223807,37.8487605460973,-0.705463152606783,0.244222009606878,-0.98333264371113,0.331688180353043,"Chl"
"50",560,-0.179906603239804,0.193096520389383,37.871931024142,-0.570853487234971,0.211040280755363,-0.931692621270536,0.357397133632353,"Chl"
"51",1050,-0.0615740106327922,0.131508850820917,37.6256785785343,-0.327886765839989,0.204738744574405,-0.468211913102647,0.642334139283111,"Chl"
"52",1680,0.0905678941476157,0.188443333379159,37.1753754377855,-0.291193776012278,0.472329564307509,0.480610762522376,0.633609559209753,"Chl"
"53",350,0.0650900553594003,0.306027211303886,36.5819892579954,-0.555219226600715,0.685399337319515,0.212693685251295,0.832746687557139,"WUE"
"54",560,0.141856560589528,0.251769729045087,36.5374763862681,-0.368495435522659,0.652208556701715,0.563437714007802,0.576578721757726,"WUE"
"55",1050,0.32097840612647,0.173177014061682,36.3335816990407,-0.0301289264754495,0.672085738728389,1.85347003391653,0.0719488762711862,"WUE"
"56",1680,0.55127792181677,0.252223776835043,36.4353675182695,0.0399565435263656,1.06259930010717,2.1856699187298,0.0353461326663772,"WUE"
"57",350,-0.0630545643370748,0.312529067462143,37.7666938465788,-0.695864960999714,0.569755832325565,-0.201755839381924,0.841190429503983,"PNUE"
"58",560,-0.10378952186474,0.257509902249001,37.8216083242736,-0.625171823242728,0.417592779513248,-0.403050604882682,0.689180412997228,"PNUE"
"59",1050,-0.198837756095959,0.172056790140096,37.2877514514945,-0.54736713904499,0.149691626853073,-1.15565189803934,0.255175141586461,"PNUE"
"60",1680,-0.32104262867896,0.239660800656265,36.1496009942408,-0.807027426899307,0.164942169541388,-1.33957087600411,0.188746158296857,"PNUE"
"61",350,-0.561306935280596,0.222451737726654,36.1935818094721,-1.01237619991325,-0.110237670647947,-2.52327512033339,0.0161578106104677,"Anet"
"62",560,-0.463385539442499,0.183199783234264,36.2051181462716,-0.834858844755955,-0.0919122341290431,-2.52940004219302,0.0159195048690955,"Anet"
"63",1050,-0.234902282486985,0.123554642107249,35.8543547913262,-0.485518059372145,0.0157134943981756,-1.90120159372953,0.0653365683202022,"Anet"
"64",1680,0.0588619050272753,0.174734122630402,35.349058885977,-0.295742049424304,0.413465859478854,0.336865542580829,0.738210159311425,"Anet"
"65",350,0.492449386324209,0.298515368904487,37.7664380806309,-0.111986139689158,1.09688491233758,1.64966175152534,0.107306441312589,"PSA"
"66",560,0.309170092250826,0.245779679493732,37.7873876800287,-0.188476807778898,0.806816992280551,1.25791559695931,0.216140308401075,"PSA"
"67",1050,-0.118481593920393,0.167378995469144,37.5648093814504,-0.457451614355175,0.220488426514388,-0.707864171297618,0.483398782799801,"PSA"
"68",1680,-0.668319476140404,0.239817172111324,37.1580036809632,-1.15416548769035,-0.182473464590457,-2.78678741082881,0.00833645397453105,"PSA"
"69",350,0.724216429355854,0.378510303437795,37.3419095132213,-0.0424813321958603,1.49091419090757,1.91333346220223,0.0633955945427137,"Biomass"
"70",560,0.541348268264078,0.311651322379311,37.3513070361049,-0.089916875640693,1.17261341216885,1.73703183458725,0.0906229691171321,"Biomass"
"71",1050,0.114655892383272,0.212176416916777,37.2515928873809,-0.315156376692225,0.54446816145877,0.540380000988725,0.592151441841892,"Biomass"
