id_plant,date,ID_trt,block,plant,n_trt,drought,tmp,VPD,DAD,Cumul_FC,Cumul_N,Cumul_DD,time,machine,anet_420,ci_420,gs_420,vpd_leaf,temperature_leaf,vcmax_tleaf,vcmax_tleaf_se,jmax_tleaf,jmax_tleaf_se,rd_tleaf,rd_tleaf_se,TPU,TPU_se,aci_RMSE,aci_ci_transistion,aci_ci_transition_set,aci_km,aci_gammastar,aci_fitmethod,aci_tcorrect,aci_fittpu,deltaC13,percentage_C,percentage_N,total_leaves,stem,rep_org,senescence,roots,transpiration
ln_b7_p2,24-May,B7,7,2,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,29.79363837,299.9298787,0.765333634,1.511949004,25.01707979,123.3556283,0.909966162,220.8306714,NA,2.324639564,0.184948893,13.40967241,NA,7.544015648,339.3132929,NA,711.3740422,42.78749684,bilinear,FALSE,TRUE,-33.41,42.28120847,3.116855863,,,,,,
ln_b7_p3,24-May,B7,7,3,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,26.45955416,318.4339396,0.89541764,1.508061466,25.01849376,99.50868144,0.697447514,180.5953447,NA,0.631688539,0.153192349,11.05361914,NA,2.297111359,367.7152541,NA,711.461289,42.79060112,bilinear,FALSE,TRUE,-32.63,40.34171552,2.62260894,,,,,,
ln_b7_p4,24-May,B7,7,4,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,20.13345662,277.1396617,0.316506988,1.492953431,25.00548427,92.21014644,1.436253774,166.8107895,NA,1.898706473,0.296971034,11.71505154,NA,3.722650252,370.6978485,NA,710.656867,42.7620079,bilinear,FALSE,TRUE,-32.83,40.62330177,4.806355445,,,,,,
ln_b7_p5,24-May,B7,7,5,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,31.90480175,270.4430721,0.56394078,1.498267388,24.99659347,150.895524,1.630119628,264.1958276,NA,4.024645036,0.301025147,11.49533415,NA,44.43882874,303.8108859,NA,710.1126668,42.74256873,bilinear,FALSE,TRUE,-30.5,40.40749134,2.785491559,,,,,,
ln_b7_p6,24-May,B7,7,6,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,14.04312768,210.902248,0.125465774,1.492475502,24.9930548,119.7520755,8.807629052,185.6471885,NA,6.887472609,1.378800702,12.3977886,NA,14.32149463,262.3768528,NA,709.8951337,42.73481451,bilinear,FALSE,TRUE,-30.94,41.26580194,3.145416081,,,,,,
ln_b7_p7,24-May,B7,7,7,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,23.78014918,235.8105989,0.274584369,1.500048992,25.0016673,145.5700995,3.669078381,244.2669686,NA,5.843855208,0.635919141,12.21247584,NA,8.218646351,286.5615126,NA,710.4228384,42.75365509,bilinear,FALSE,TRUE,-29.72,34.29552425,3.282064033,,,,,,
ln_b7_p8,24-May,B7,7,8,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,35.96169884,280.8231361,0.794454307,1.496379082,24.99855788,150.0608351,1.494860656,266.2075925,NA,1.500067868,0.289762054,11.97146521,NA,20.98143985,311.3439983,NA,710.23443,42.74689177,bilinear,FALSE,TRUE,-30.85,36.61069099,3.067900408,,,,,,
ln_b2_p1,24-May,B2,2,1,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,35.64315877,257.7272281,0.583527595,1.500224997,24.99116875,177.9304874,2.709382286,340.5774023,NA,5.147087968,0.513436524,16.67367682,NA,9.048897412,321.9210044,NA,709.7820865,42.7307348,bilinear,FALSE,TRUE,-31.87,40.2579167,4.065326552,,,,,,
ln_b2_p2,24-May,B2,2,2,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,33.21117845,286.6415494,1.075211977,1.495787747,25.01395717,138.7462111,1.168432124,198.4876516,NA,0.044507338,0.147896905,12.147564,NA,24.46465562,219.3378068,NA,711.1942089,42.78087478,bilinear,FALSE,TRUE,-32.13,40.95821908,2.670744693,,,,,,
ln_b2_p3,24-May,B2,2,3,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,32.10395971,240.4892726,0.425415807,1.499188608,25.00749253,195.5046112,4.511543859,393.7616825,NA,7.242711527,0.831371105,19.22354524,NA,13.22385708,323.9933162,NA,710.7799449,42.76640164,bilinear,FALSE,TRUE,-31.15,41.38314561,4.841454558,,,,,,
ln_b2_p4,24-May,B2,2,4,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,28.26453348,291.1439984,0.611571354,1.503100312,25.00898522,118.5627294,0.624722662,231.2490841,NA,0.680061121,0.12679131,14.9654937,NA,6.432318726,401.0467769,NA,710.8730768,42.76969771,bilinear,FALSE,TRUE,-33.26,40.10746487,4.429728824,,,,,,
ln_b2_p5,24-May,B2,2,5,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,27.3252237,232.5093188,0.319412834,1.49610866,24.99987447,169.4526841,4.234359027,304.1951094,NA,5.051207441,0.771510521,13.86478394,NA,23.92577037,300.3767657,NA,710.3131769,42.74973659,bilinear,FALSE,TRUE,-31.68,38.5554237,3.518057923,,,,,,
ln_b2_p6,24-May,B2,2,6,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,42.17295283,277.1714824,1.017934309,1.268642348,25.02182739,189.0328356,4.898075132,393.3123868,NA,3.946683455,0.979703667,18.9656424,NA,19.77838959,347.7086508,NA,712.1773049,42.80723765,bilinear,FALSE,TRUE,-32.02,41.56947324,5.290420573,,,,,,
ln_b2_p7,24-May,B2,2,7,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,45.96398059,233.8695453,0.482225205,1.631668886,24.99364218,134.4329596,3.658611938,242.0257587,NA,1.414240722,0.656469247,16.02167325,NA,10.59610945,332.9691229,NA,710.5961026,42.75981477,bilinear,FALSE,TRUE,-32.82,40.53322548,4.724069084,,,,,,
ln_b2_p8,24-May,B2,2,8,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,26.46421648,241.6091605,0.26150402,1.502715347,24.99733777,171.4231958,1.912980598,263.1103151,NA,-0.023840226,0.264301608,16.73274936,NA,16.33579957,231.8640226,NA,710.2869298,42.74872938,bilinear,FALSE,TRUE,-31,40.72769645,4.434707365,,,,,,
ln_b3_p1,24-May,B3,3,1,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,29.66469507,277.7375797,0.55028943,1.493590438,24.99537388,139.0694925,2.737005123,252.9411186,NA,5.504533123,0.546150119,12.91388833,NA,6.707130574,334.5073488,NA,710.0420476,42.73997622,bilinear,FALSE,TRUE,-32.77,38.96922896,2.274674711,,,,,,
ln_b3_p2,24-May,B3,3,2,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,24.1420067,220.7614296,0.251094291,1.499950131,24.99513686,159.7137434,4.063221815,291.3442599,NA,6.264256436,0.716732067,17.86151735,NA,9.709523051,317.0725347,NA,710.0232034,42.73937834,bilinear,FALSE,TRUE,-32.53,38.95063472,4.354326691,,,,,,
ln_b3_p3,24-May,B3,3,3,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,24.61014741,282.7238252,0.442006105,1.496270555,24.99714975,118.429727,1.572447016,222.2406582,NA,3.962671414,0.32917838,13.9181814,NA,5.000796509,373.424038,NA,710.1461817,42.74377518,bilinear,FALSE,TRUE,-33.38,38.93716732,2.782120696,,,,,,
ln_b3_p4,24-May,B3,3,4,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,35.15682449,291.0311278,0.897863597,1.50120993,24.99605139,145.9014374,1.037631667,242.4905334,NA,2.433655745,0.155872258,11.8591699,NA,6.859451545,281.4837334,NA,710.0794232,42.74138235,bilinear,FALSE,TRUE,-31.68,36.94218569,3.40991764,,,,,,
