ID_trt,n_trt,drought,plant,DAD,FC
B3,LN,FDD,2,2,0.918032787
B3,LN,FDD,2,3,0.909836066
B3,LN,FDD,2,4,0.860655738
B3,LN,FDD,2,5,0.754098361
B3,LN,FDD,2,6,0.713114754
B3,LN,FDD,2,7,0.696721311
B3,LN,FDD,2,8,0.655737705
B3,LN,FDD,2,9,0.590163934
B3,LN,FDD,2,10,0.532786885
B3,LN,FDD,2,11,0.532786885
B3,LN,FDD,2,12,0.426229508
B3,LN,FDD,2,13,0.385245902
B3,LN,FDD,2,14,0.352459016
B3,LN,FDD,2,15,0.327868852
B3,LN,FDD,2,16,0.327868852
B3,LN,FDD,2,17,0.327868852
B3,LN,FDD,2,18,0.327868852
B3,LN,FDD,2,19,0.327868852
B3,LN,FDD,2,20,0.327868852
B3,LN,FDD,2,21,0.327868852
B3,LN,FDD,2,22,0.327868852
B3,LN,FDD,2,23,0.327868852
B3,LN,FDD,2,24,0.327868852
B3,LN,FDD,2,25,0.327868852
B3,LN,FDD,2,26,0.327868852
B3,LN,FDD,2,27,0.327868852
B3,LN,FDD,2,28,0.196721311
B3,LN,FDD,2,29,0.196721311
B3,LN,FDD,2,30,0.196721311
B3,LN,FDD,2,31,0.180327869
B3,LN,FDD,2,32,0.180327869
B3,LN,FDD,2,33,0.180327869
B3,LN,FDD,2,34,0.180327869
B3,LN,FDD,2,35,0.180327869
B3,LN,FDD,2,36,0.819672131
B3,LN,FDD,2,37,0.770491803
B3,LN,FDD,2,38,0.770491803
B3,LN,FDD,2,39,0.672131148
B3,LN,FDD,2,40,0.573770492
B3,LN,FDD,2,41,0.491803279
B3,LN,FDD,3,1,0.983606557
B3,LN,FDD,3,2,0.950819672
B3,LN,FDD,3,3,0.950819672
B3,LN,FDD,3,4,0.942622951
B3,LN,FDD,3,5,0.926229508
B3,LN,FDD,3,6,0.926229508
B3,LN,FDD,3,7,0.926229508
B3,LN,FDD,3,8,0.901639344
B3,LN,FDD,3,9,0.87704918
B3,LN,FDD,3,10,0.87704918
B3,LN,FDD,3,11,0.852459016
B3,LN,FDD,3,12,0.852459016
B3,LN,FDD,3,13,0.844262295
B3,LN,FDD,3,14,0.844262295
B3,LN,FDD,3,15,0.786885246
B3,LN,FDD,3,16,0.786885246
B3,LN,FDD,3,17,0.786885246
B3,LN,FDD,3,18,0.737704918
B3,LN,FDD,3,19,0.737704918
B3,LN,FDD,3,20,0.737704918
B3,LN,FDD,3,21,0.737704918
B3,LN,FDD,3,22,0.721311475
B3,LN,FDD,3,23,0.721311475
B3,LN,FDD,3,24,0.721311475
B3,LN,FDD,3,25,0.672131148
B3,LN,FDD,3,26,0.639344262
B3,LN,FDD,3,27,0.639344262
B3,LN,FDD,3,28,0.639344262
B3,LN,FDD,3,29,0.639344262
B3,LN,FDD,3,30,0.639344262
B3,LN,FDD,3,31,0.639344262
B3,LN,FDD,3,32,0.62295082
B3,LN,FDD,3,33,0.573770492
B3,LN,FDD,3,34,0.573770492
B3,LN,FDD,3,35,0.573770492
B3,LN,FDD,3,36,0.557377049
B3,LN,FDD,3,37,0.540983607
B3,LN,FDD,3,38,0.540983607
B3,LN,FDD,3,39,0.540983607
B3,LN,FDD,3,40,0.540983607
B3,LN,FDD,3,41,0.540983607
B3,LN,FDD,4,1,0.983606557
B3,LN,FDD,4,2,0.918032787
B3,LN,FDD,4,3,0.909836066
B3,LN,FDD,4,4,0.860655738
B3,LN,FDD,4,5,0.770491803
B3,LN,FDD,4,6,0.762295082
B3,LN,FDD,4,7,0.762295082
B3,LN,FDD,4,8,0.721311475
B3,LN,FDD,4,9,0.639344262
B3,LN,FDD,4,10,0.631147541
B3,LN,FDD,4,11,0.631147541
B3,LN,FDD,4,12,0.540983607
B3,LN,FDD,4,13,0.5
B3,LN,FDD,4,14,0.483606557
B3,LN,FDD,4,15,0.37704918
B3,LN,FDD,4,16,0.344262295
B3,LN,FDD,4,17,0.344262295
B3,LN,FDD,4,18,0.327868852
B3,LN,FDD,4,19,0.327868852
B3,LN,FDD,4,20,0.327868852
B3,LN,FDD,4,21,0.327868852
B3,LN,FDD,4,22,0.327868852
B3,LN,FDD,4,23,0.327868852
B3,LN,FDD,4,24,0.327868852
B3,LN,FDD,4,25,0.245901639
B3,LN,FDD,4,26,0.196721311
B3,LN,FDD,4,27,0.196721311
